"Time","superficie s11"
2023-08-06 21:00:00,31.76
2023-08-06 22:00:00,31.66
2023-08-06 23:00:00,31.56
2023-08-07 00:00:00,31.41
2023-08-07 01:00:00,31.17
2023-08-07 02:00:00,31.01
2023-08-07 03:00:00,30.86
2023-08-07 04:00:00,30.73
2023-08-07 05:00:00,30.54
2023-08-07 06:00:00,30.65
2023-08-07 07:00:00,30.69
2023-08-07 08:00:00,30.06
2023-08-07 09:00:00,29.93
2023-08-07 10:00:00,30.00
2023-08-07 11:00:00,30.19
2023-08-07 12:00:00,30.50
2023-08-07 13:00:00,30.91
2023-08-07 14:00:00,31.11
2023-08-07 15:00:00,31.60
2023-08-07 16:00:00,32.14
2023-08-07 17:00:00,32.30
2023-08-07 18:00:00,31.96
2023-08-07 19:00:00,31.85
2023-08-07 20:00:00,31.69
2023-08-07 21:00:00,31.55
2023-08-07 22:00:00,31.52
2023-08-07 23:00:00,31.41
2023-08-08 00:00:00,31.35
2023-08-08 01:00:00,31.27
2023-08-08 02:00:00,31.16
2023-08-08 03:00:00,31.02
2023-08-08 04:00:00,30.92
2023-08-08 05:00:00,30.78
2023-08-08 06:00:00,30.69
2023-08-08 07:00:00,30.66
2023-08-08 08:00:00,30.48
2023-08-08 09:00:00,30.60
2023-08-08 10:00:00,30.59
2023-08-08 11:00:00,30.91
2023-08-08 12:00:00,31.15
2023-08-08 13:00:00,31.55
2023-08-08 14:00:00,31.63
2023-08-08 15:00:00,31.79
2023-08-08 16:00:00,31.96
2023-08-08 17:00:00,32.05
2023-08-08 18:00:00,32.08
2023-08-08 19:00:00,32.04
2023-08-08 20:00:00,31.86
2023-08-08 21:00:00,31.72
2023-08-08 22:00:00,31.59
2023-08-08 23:00:00,31.45
2023-08-09 00:00:00,31.31
2023-08-09 01:00:00,31.19
2023-08-09 02:00:00,31.02
2023-08-09 03:00:00,30.95
2023-08-09 04:00:00,30.85
2023-08-09 05:00:00,30.70
2023-08-09 06:00:00,30.58
2023-08-09 07:00:00,30.51
2023-08-09 08:00:00,30.49
2023-08-09 09:00:00,30.50
2023-08-09 10:00:00,30.70
2023-08-09 11:00:00,31.00
2023-08-09 12:00:00,31.30
2023-08-09 13:00:00,31.59
2023-08-09 14:00:00,31.98
2023-08-09 15:00:00,32.29
2023-08-09 16:00:00,32.51
2023-08-09 17:00:00,32.68
2023-08-09 18:00:00,32.72
2023-08-09 19:00:00,32.66
2023-08-09 20:00:00,32.52
2023-08-09 21:00:00,32.38
2023-08-09 22:00:00,32.30
2023-08-09 23:00:00,32.19
2023-08-10 00:00:00,32.08
2023-08-10 01:00:00,31.97
2023-08-10 02:00:00,31.90
2023-08-10 03:00:00,31.89
2023-08-10 04:00:00,31.78
2023-08-10 05:00:00,31.66
2023-08-10 06:00:00,31.55
2023-08-10 07:00:00,31.47
2023-08-10 08:00:00,31.44
2023-08-10 09:00:00,31.48
2023-08-10 10:00:00,31.66
2023-08-10 11:00:00,31.92
2023-08-10 12:00:00,32.16
2023-08-10 13:00:00,32.49
2023-08-10 14:00:00,32.75
2023-08-10 15:00:00,32.94
2023-08-10 16:00:00,33.14
2023-08-10 17:00:00,33.18
2023-08-10 18:00:00,33.34
2023-08-10 19:00:00,33.29
2023-08-10 20:00:00,33.20
2023-08-10 21:00:00,33.06
2023-08-10 22:00:00,32.98
2023-08-10 23:00:00,32.89
2023-08-11 00:00:00,32.73
2023-08-11 01:00:00,32.59
2023-08-11 02:00:00,32.48
2023-08-11 03:00:00,32.40
2023-08-11 04:00:00,32.35
