"Time","superficie"
2023-06-27 00:20:00,31.16
2023-06-27 00:40:00,31.13
2023-06-27 01:00:00,31.03
2023-06-27 01:20:00,30.97
2023-06-27 01:40:00,30.94
2023-06-27 02:00:00,30.88
2023-06-27 02:20:00,30.81
2023-06-27 02:40:00,30.78
2023-06-27 03:00:00,30.72
2023-06-27 03:20:00,30.69
2023-06-27 03:40:00,30.63
2023-06-27 04:00:00,30.59
2023-06-27 04:20:00,30.53
2023-06-27 04:40:00,30.50
2023-06-27 05:00:00,30.47
2023-06-27 05:20:00,30.44
2023-06-27 05:40:00,30.44
2023-06-27 06:00:00,30.41
2023-06-27 06:20:00,30.38
2023-06-27 06:40:00,30.31
2023-06-27 07:00:00,30.28
2023-06-27 07:20:00,30.25
2023-06-27 07:40:00,30.25
2023-06-27 08:00:00,30.25
2023-06-27 08:20:00,30.25
2023-06-27 08:40:00,30.25
2023-06-27 09:00:00,30.25
2023-06-27 09:20:00,30.31
2023-06-27 09:40:00,30.41
2023-06-27 10:00:00,30.66
2023-06-27 10:20:00,31.00
2023-06-27 10:40:00,31.16
2023-06-27 11:00:00,31.31
2023-06-27 11:20:00,31.38
2023-06-27 11:40:00,31.38
2023-06-27 12:00:00,31.38
2023-06-27 12:20:00,31.53
2023-06-27 12:40:00,31.59
2023-06-27 13:00:00,31.63
2023-06-27 13:20:00,31.72
2023-06-27 13:40:00,31.88
2023-06-27 14:00:00,32.03
2023-06-27 14:20:00,32.16
2023-06-27 14:40:00,32.25
2023-06-27 15:00:00,32.28
2023-06-27 15:20:00,32.31
2023-06-27 15:40:00,32.13
2023-06-27 16:00:00,32.22
2023-06-27 16:20:00,32.28
2023-06-27 16:40:00,32.31
2023-06-27 17:00:00,32.38
2023-06-27 17:20:00,32.44
2023-06-27 17:40:00,32.44
2023-06-27 18:00:00,32.47
2023-06-27 18:20:00,32.44
2023-06-27 18:40:00,32.44
