"Time","fondo s2"
2023-01-20 20:30:00,12.25
2023-01-20 21:00:00,12.23
2023-01-20 21:30:00,12.17
2023-01-20 22:00:00,12.10
2023-01-20 22:30:00,12.06
2023-01-20 23:00:00,12.13
2023-01-20 23:30:00,12.06
2023-01-21 00:00:00,12.10
2023-01-21 00:30:00,12.10
2023-01-21 01:00:00,12.10
2023-01-21 01:30:00,12.13
2023-01-21 02:00:00,12.13
2023-01-21 02:30:00,12.10
2023-01-21 03:00:00,12.02
2023-01-21 03:30:00,11.98
2023-01-21 04:00:00,11.92
2023-01-21 04:30:00,11.88
2023-01-21 05:00:00,11.79
2023-01-21 05:30:00,11.81
2023-01-21 06:00:00,11.69
2023-01-21 06:30:00,11.63
2023-01-21 07:00:00,11.56
2023-01-21 07:30:00,11.54
2023-01-21 08:00:00,11.50
2023-01-21 08:30:00,11.50
2023-01-21 09:00:00,11.50
2023-01-21 09:30:00,11.52
2023-01-21 10:00:00,11.56
2023-01-21 10:30:00,11.63
2023-01-21 11:00:00,11.73
2023-01-21 11:30:00,11.83
2023-01-21 12:00:00,11.92
2023-01-21 12:30:00,12.04
2023-01-21 13:00:00,12.13
2023-01-21 13:30:00,12.25
2023-01-21 14:00:00,12.35
2023-01-21 14:30:00,12.46
2023-01-21 15:00:00,12.50
2023-01-21 15:30:00,12.56
2023-01-21 16:00:00,12.60
2023-01-21 16:30:00,12.63
2023-01-21 17:00:00,12.63
2023-01-21 17:30:00,12.60
2023-01-21 18:00:00,12.56
2023-01-21 18:30:00,12.56
2023-01-21 19:00:00,12.63
2023-01-21 19:30:00,12.63
2023-01-21 20:00:00,12.58
2023-01-21 20:30:00,12.58
2023-01-21 21:00:00,12.56
2023-01-21 21:30:00,12.50
2023-01-21 22:00:00,12.44
2023-01-21 22:30:00,12.31
2023-01-21 23:00:00,12.15
2023-01-21 23:30:00,12.10
2023-01-22 00:00:00,12.06
2023-01-22 00:30:00,12.00
2023-01-22 01:00:00,11.96
2023-01-22 01:30:00,11.90
2023-01-22 02:00:00,11.81
2023-01-22 02:30:00,11.73
2023-01-22 03:00:00,11.67
2023-01-22 03:30:00,11.58
2023-01-22 04:00:00,11.50
2023-01-22 04:30:00,11.42
2023-01-22 05:00:00,11.38
2023-01-22 05:30:00,11.29
2023-01-22 06:00:00,11.23
2023-01-22 06:30:00,11.17
2023-01-22 07:00:00,11.13
2023-01-22 07:30:00,11.06
2023-01-22 08:00:00,11.04
2023-01-22 08:30:00,10.94
2023-01-22 09:00:00,10.83
2023-01-22 09:30:00,10.81
2023-01-22 10:00:00,10.81
2023-01-22 10:30:00,10.83
2023-01-22 11:00:00,10.88
2023-01-22 11:30:00,10.98
2023-01-22 12:00:00,11.10
2023-01-22 12:30:00,11.33
2023-01-22 13:00:00,11.52
2023-01-22 13:30:00,11.71
2023-01-22 14:00:00,11.73
2023-01-22 14:30:00,11.81
2023-01-22 15:00:00,11.77
2023-01-22 15:30:00,11.69
2023-01-22 16:00:00,11.71
2023-01-22 16:30:00,11.77
2023-01-22 17:00:00,11.81
2023-01-22 17:30:00,11.77
2023-01-22 18:00:00,11.69
2023-01-22 18:30:00,11.63
2023-01-22 19:00:00,11.63
2023-01-22 19:30:00,11.56
2023-01-22 20:00:00,11.50
2023-01-22 20:30:00,11.46
2023-01-22 21:00:00,11.42
2023-01-22 21:30:00,11.35
2023-01-22 22:00:00,11.31
2023-01-22 22:30:00,11.29
2023-01-22 23:00:00,11.21
2023-01-22 23:30:00,11.19
2023-01-23 00:00:00,11.15
2023-01-23 00:30:00,11.08
2023-01-23 01:00:00,11.04
2023-01-23 01:30:00,11.02
2023-01-23 02:00:00,10.92
2023-01-23 02:30:00,10.88
2023-01-23 03:00:00,10.83
2023-01-23 03:30:00,10.77
2023-01-23 04:00:00,10.73
2023-01-23 04:30:00,10.67
2023-01-23 05:00:00,10.63
2023-01-23 05:30:00,10.63
2023-01-23 06:00:00,10.56
2023-01-23 06:30:00,10.50
2023-01-23 07:00:00,10.46
2023-01-23 07:30:00,10.40
2023-01-23 08:00:00,10.33
2023-01-23 08:30:00,10.29
2023-01-23 09:00:00,10.31
2023-01-23 09:30:00,10.29
2023-01-23 10:00:00,10.31
2023-01-23 10:30:00,10.33
2023-01-23 11:00:00,10.38
2023-01-23 11:30:00,10.42
2023-01-23 12:00:00,10.56
2023-01-23 12:30:00,10.71
2023-01-23 13:00:00,10.85
2023-01-23 13:30:00,10.94
2023-01-23 14:00:00,11.08
2023-01-23 14:30:00,11.06
2023-01-23 15:00:00,11.02
2023-01-23 15:30:00,11.19
2023-01-23 16:00:00,11.25
2023-01-23 16:30:00,11.25
2023-01-23 17:00:00,11.25
